,GP_name,quali_pos,driver,age_at_gp_in_days,position,driver_confidence,active_driver
39,Albert Park Grand Prix Circuit,12,Daniel Ricciardo,10851,12,0.942196532,1
40,Albert Park Grand Prix Circuit,14,Kevin Magnussen,8567,15,0.952380952,1
41,Albert Park Grand Prix Circuit,9,Carlos Sainz,8606,9,0.903846154,1
90,Albert Park Grand Prix Circuit,16,Valtteri Bottas,8602,16,0.965034965,1
91,Albert Park Grand Prix Circuit,15,Valtteri Bottas,8966,10,0.965034965,1
92,Albert Park Grand Prix Circuit,0,Valtteri Bottas,9330,6,0.965034965,1
93,Albert Park Grand Prix Circuit,16,Valtteri Bottas,9701,11,0.965034965,1
94,Albert Park Grand Prix Circuit,20,Lance Stroll,6723,19,0.923076923,1
95,Albert Park Grand Prix Circuit,13,Lance Stroll,7087,14,0.923076923,1
97,Albert Park Grand Prix Circuit,19,George Russell,7700,19,0.958333333,1
118,Albert Park Grand Prix Circuit,11,Lewis Hamilton,9211,11,0.945273632,1
119,Albert Park Grand Prix Circuit,2,Lewis Hamilton,9575,2,0.945273632,1
120,Albert Park Grand Prix Circuit,1,Lewis Hamilton,9932,1,0.945273632,1
135,Albert Park Grand Prix Circuit,15,Sergio Pérez,8451,15,0.933333333,1
136,Albert Park Grand Prix Circuit,4,Kevin Magnussen,7832,4,0.952380952,1
137,Albert Park Grand Prix Circuit,17,Kevin Magnussen,8196,18,0.952380952,1
138,Albert Park Grand Prix Circuit,18,Carlos Sainz,8963,18,0.903846154,1
141,Albert Park Grand Prix Circuit,8,Lando Norris,7064,8,0.916666667,1
151,Albert Park Grand Prix Circuit,4,Sebastian Vettel,10117,4,0.955,1
152,Albert Park Grand Prix Circuit,3,Sebastian Vettel,10488,3,0.955,1
153,Albert Park Grand Prix Circuit,2,Sebastian Vettel,10859,2,0.955,1
154,Albert Park Grand Prix Circuit,3,Sebastian Vettel,11223,3,0.955,1
155,Albert Park Grand Prix Circuit,3,Sebastian Vettel,11580,3,0.955,1
159,Albert Park Grand Prix Circuit,11,Kimi Räikkönen,12569,12,0.944099379,1
160,Albert Park Grand Prix Circuit,5,Kimi Räikkönen,12933,5,0.944099379,1
161,Albert Park Grand Prix Circuit,4,Kimi Räikkönen,13304,4,0.944099379,1
162,Albert Park Grand Prix Circuit,4,Kimi Räikkönen,13675,4,0.944099379,1
163,Albert Park Grand Prix Circuit,2,Kimi Räikkönen,14039,2,0.944099379,1
185,Albert Park Grand Prix Circuit,5,Charles Leclerc,7822,5,0.844444444,1
267,Albert Park Grand Prix Circuit,3,Lewis Hamilton,10296,3,0.945273632,1
268,Albert Park Grand Prix Circuit,1,Lewis Hamilton,10660,1,0.945273632,1
269,Albert Park Grand Prix Circuit,1,Lewis Hamilton,11024,1,0.945273632,1
270,Albert Park Grand Prix Circuit,1,Lewis Hamilton,11395,1,0.945273632,1
271,Albert Park Grand Prix Circuit,1,Lewis Hamilton,11766,1,0.945273632,1
272,Albert Park Grand Prix Circuit,1,Lewis Hamilton,12130,1,0.945273632,1
273,Albert Park Grand Prix Circuit,1,Lewis Hamilton,12487,1,0.945273632,1
277,Albert Park Grand Prix Circuit,3,Valtteri Bottas,10072,3,0.965034965,1
278,Albert Park Grand Prix Circuit,15,Valtteri Bottas,10436,10,0.965034965,1
279,Albert Park Grand Prix Circuit,2,Valtteri Bottas,10793,2,0.965034965,1
292,Albert Park Grand Prix Circuit,10,Daniel Ricciardo,8296,10,0.942196532,1
293,Albert Park Grand Prix Circuit,14,Daniel Ricciardo,8660,14,0.942196532,1
297,Albert Park Grand Prix Circuit,8,Daniil Kvyat,7264,8,0.917525773,1
298,Albert Park Grand Prix Circuit,9,Daniil Kvyat,8370,9,0.917525773,1
299,Albert Park Grand Prix Circuit,15,Daniil Kvyat,9091,15,0.917525773,1
300,Albert Park Grand Prix Circuit,7,Carlos Sainz,7500,8,0.903846154,1
301,Albert Park Grand Prix Circuit,7,Carlos Sainz,7871,7,0.903846154,1
302,Albert Park Grand Prix Circuit,8,Carlos Sainz,8242,8,0.903846154,1
303,Albert Park Grand Prix Circuit,11,Max Verstappen,6375,12,0.914285714,1
304,Albert Park Grand Prix Circuit,5,Max Verstappen,6746,5,0.914285714,1
305,Albert Park Grand Prix Circuit,20,Pierre Gasly,8082,20,0.93877551,1
307,Albert Park Grand Prix Circuit,13,Alexander Albon,8394,13,0.956521739,1
323,Albert Park Grand Prix Circuit,16,Sergio Pérez,8815,16,0.933333333,1
324,Albert Park Grand Prix Circuit,14,Sergio Pérez,9179,15,0.933333333,1
325,Albert Park Grand Prix Circuit,9,Sergio Pérez,9550,9,0.933333333,1
326,Albert Park Grand Prix Circuit,10,Sergio Pérez,9921,11,0.933333333,1
327,Albert Park Grand Prix Circuit,12,Sergio Pérez,10285,13,0.933333333,1
328,Albert Park Grand Prix Circuit,13,Esteban Ocon,7495,14,0.923076923,1
329,Albert Park Grand Prix Circuit,14,Esteban Ocon,7859,15,0.923076923,1
354,Albert Park Grand Prix Circuit,13,Sergio Pérez,7730,13,0.933333333,1
355,Albert Park Grand Prix Circuit,22,Sergio Pérez,8087,17,0.933333333,1
364,Albert Park Grand Prix Circuit,16,Antonio Giovinazzi,8503,16,0.88,1
365,Albert Park Grand Prix Circuit,18,Charles Leclerc,7465,18,0.844444444,1
382,Albert Park Grand Prix Circuit,1,Sebastian Vettel,8304,1,0.955,1
383,Albert Park Grand Prix Circuit,1,Sebastian Vettel,8668,1,0.955,1
384,Albert Park Grand Prix Circuit,6,Sebastian Vettel,9025,6,0.955,1
385,Albert Park Grand Prix Circuit,1,Sebastian Vettel,9389,1,0.955,1
386,Albert Park Grand Prix Circuit,12,Sebastian Vettel,9753,13,0.955,1
393,Albert Park Grand Prix Circuit,2,Daniel Ricciardo,9024,2,0.942196532,1
394,Albert Park Grand Prix Circuit,6,Daniel Ricciardo,9388,7,0.942196532,1
395,Albert Park Grand Prix Circuit,8,Daniel Ricciardo,9759,8,0.942196532,1
396,Albert Park Grand Prix Circuit,0,Daniel Ricciardo,10130,10,0.942196532,1
397,Albert Park Grand Prix Circuit,8,Daniel Ricciardo,10494,5,0.942196532,1
398,Albert Park Grand Prix Circuit,12,Daniil Kvyat,7628,13,0.917525773,1
399,Albert Park Grand Prix Circuit,18,Daniil Kvyat,7999,18,0.917525773,1
400,Albert Park Grand Prix Circuit,5,Max Verstappen,7117,5,0.914285714,1
401,Albert Park Grand Prix Circuit,4,Max Verstappen,7481,4,0.914285714,1
402,Albert Park Grand Prix Circuit,4,Max Verstappen,7838,4,0.914285714,1
403,Albert Park Grand Prix Circuit,17,Pierre Gasly,8439,17,0.93877551,1
410,Albert Park Grand Prix Circuit,17,Kimi Räikkönen,11841,18,0.944099379,1
411,Albert Park Grand Prix Circuit,7,Kimi Räikkönen,12205,7,0.944099379,1
412,Albert Park Grand Prix Circuit,3,Romain Grosjean,9467,3,0.851851852,1
413,Albert Park Grand Prix Circuit,8,Romain Grosjean,9831,8,0.851851852,1
414,Albert Park Grand Prix Circuit,22,Romain Grosjean,10195,21,0.851851852,1
415,Albert Park Grand Prix Circuit,8,Romain Grosjean,10559,9,0.851851852,1
418,Albert Park Grand Prix Circuit,9,Kimi Räikkönen,14396,9,0.944099379,1
419,Albert Park Grand Prix Circuit,14,Antonio Giovinazzi,9224,14,0.88,1
426,Albert Park Grand Prix Circuit,19,Romain Grosjean,10930,19,0.851851852,1
427,Albert Park Grand Prix Circuit,6,Romain Grosjean,11301,6,0.851851852,1
428,Albert Park Grand Prix Circuit,6,Romain Grosjean,11665,7,0.851851852,1
429,Albert Park Grand Prix Circuit,6,Romain Grosjean,12022,6,0.851851852,1
431,Albert Park Grand Prix Circuit,17,Kevin Magnussen,8938,17,0.952380952,1
432,Albert Park Grand Prix Circuit,5,Kevin Magnussen,9302,6,0.952380952,1
433,Albert Park Grand Prix Circuit,7,Kevin Magnussen,9659,7,0.952380952,1
466,Albert Park Grand Prix Circuit,10,Sergio Pérez,10642,10,0.933333333,1
467,Albert Park Grand Prix Circuit,16,Lance Stroll,7444,16,0.923076923,1
507,Sepang International Circuit,14,Kevin Magnussen,8763,14,0.952380952,1
537,Sepang International Circuit,18,Valtteri Bottas,8609,18,0.965034965,1
538,Sepang International Circuit,18,Valtteri Bottas,8980,15,0.965034965,1
539,Sepang International Circuit,8,Valtteri Bottas,9344,9,0.965034965,1
540,Sepang International Circuit,11,Valtteri Bottas,9897,11,0.965034965,1
541,Sepang International Circuit,13,Lance Stroll,6912,13,0.923076923,1
563,Sepang International Circuit,20,Lewis Hamilton,9218,20,0.945273632,1
564,Sepang International Circuit,2,Lewis Hamilton,9589,2,0.945273632,1
565,Sepang International Circuit,1,Lewis Hamilton,9939,1,0.945273632,1
571,Sepang International Circuit,9,Sergio Pérez,8458,10,0.933333333,1
572,Sepang International Circuit,8,Kevin Magnussen,7846,8,0.952380952,1
583,Sepang International Circuit,2,Sebastian Vettel,10131,2,0.955,1
584,Sepang International Circuit,5,Sebastian Vettel,10684,5,0.955,1
585,Sepang International Circuit,20,Sebastian Vettel,11048,20,0.955,1
589,Sepang International Circuit,6,Kimi Räikkönen,12583,6,0.944099379,1
590,Sepang International Circuit,11,Kimi Räikkönen,12947,11,0.944099379,1
591,Sepang International Circuit,6,Kimi Räikkönen,13500,6,0.944099379,1
592,Sepang International Circuit,0,Kimi Räikkönen,13864,2,0.944099379,1
659,Sepang International Circuit,4,Lewis Hamilton,10303,4,0.945273632,1
660,Sepang International Circuit,1,Lewis Hamilton,10674,1,0.945273632,1
661,Sepang International Circuit,1,Lewis Hamilton,11038,1,0.945273632,1
662,Sepang International Circuit,1,Lewis Hamilton,11591,1,0.945273632,1
663,Sepang International Circuit,1,Lewis Hamilton,11955,1,0.945273632,1
667,Sepang International Circuit,5,Valtteri Bottas,10261,5,0.965034965,1
680,Sepang International Circuit,15,Daniel Ricciardo,8303,15,0.942196532,1
681,Sepang International Circuit,13,Daniel Ricciardo,8667,13,0.942196532,1
685,Sepang International Circuit,11,Daniil Kvyat,7278,11,0.917525773,1
686,Sepang International Circuit,15,Daniil Kvyat,8195,15,0.917525773,1
687,Sepang International Circuit,15,Carlos Sainz,7514,15,0.903846154,1
688,Sepang International Circuit,16,Carlos Sainz,8067,16,0.903846154,1
689,Sepang International Circuit,14,Carlos Sainz,8431,14,0.903846154,1
690,Sepang International Circuit,6,Max Verstappen,6389,6,0.914285714,1
691,Sepang International Circuit,15,Pierre Gasly,7907,15,0.93877551,1
707,Sepang International Circuit,14,Sergio Pérez,8829,14,0.933333333,1
708,Sepang International Circuit,14,Sergio Pérez,9193,14,0.933333333,1
709,Sepang International Circuit,7,Sergio Pérez,9746,7,0.933333333,1
710,Sepang International Circuit,9,Sergio Pérez,10110,9,0.933333333,1
711,Sepang International Circuit,6,Esteban Ocon,7684,6,0.923076923,1
728,Sepang International Circuit,16,Sergio Pérez,7744,16,0.933333333,1
729,Sepang International Circuit,9,Sergio Pérez,8094,10,0.933333333,1
754,Sepang International Circuit,3,Sebastian Vettel,8311,3,0.955,1
755,Sepang International Circuit,1,Sebastian Vettel,8682,1,0.955,1
756,Sepang International Circuit,5,Sebastian Vettel,9032,6,0.955,1
757,Sepang International Circuit,1,Sebastian Vettel,9396,1,0.955,1
758,Sepang International Circuit,2,Sebastian Vettel,9767,2,0.955,1
765,Sepang International Circuit,5,Daniel Ricciardo,9038,5,0.942196532,1
766,Sepang International Circuit,4,Daniel Ricciardo,9402,4,0.942196532,1
767,Sepang International Circuit,4,Daniel Ricciardo,9955,4,0.942196532,1
768,Sepang International Circuit,4,Daniel Ricciardo,10319,4,0.942196532,1
769,Sepang International Circuit,5,Daniil Kvyat,7642,5,0.917525773,1
770,Sepang International Circuit,3,Max Verstappen,6942,3,0.914285714,1
771,Sepang International Circuit,3,Max Verstappen,7306,3,0.914285714,1
778,Sepang International Circuit,10,Kimi Räikkönen,11848,5,0.944099379,1
779,Sepang International Circuit,10,Kimi Räikkönen,12212,7,0.944099379,1
780,Sepang International Circuit,6,Romain Grosjean,9474,7,0.851851852,1
781,Sepang International Circuit,11,Romain Grosjean,9838,11,0.851851852,1
782,Sepang International Circuit,15,Romain Grosjean,10209,16,0.851851852,1
783,Sepang International Circuit,10,Romain Grosjean,10573,8,0.851851852,1
792,Sepang International Circuit,12,Romain Grosjean,11126,12,0.851851852,1
793,Sepang International Circuit,16,Romain Grosjean,11490,16,0.851851852,1
795,Sepang International Circuit,17,Kevin Magnussen,9127,17,0.952380952,1
814,Sepang International Circuit,20,Esteban Ocon,7320,20,0.923076923,1
846,Shanghai International Circuit,7,Daniel Ricciardo,10879,7,0.942196532,1
847,Shanghai International Circuit,17,Kevin Magnussen,8595,17,0.952380952,1
848,Shanghai International Circuit,9,Carlos Sainz,8627,9,0.903846154,1
875,Shanghai International Circuit,16,Valtteri Bottas,8630,17,0.965034965,1
876,Shanghai International Circuit,7,Valtteri Bottas,9001,7,0.965034965,1
877,Shanghai International Circuit,5,Valtteri Bottas,9358,5,0.965034965,1
878,Shanghai International Circuit,5,Valtteri Bottas,9729,5,0.965034965,1
879,Shanghai International Circuit,10,Lance Stroll,6737,10,0.923076923,1
880,Shanghai International Circuit,18,Lance Stroll,7108,18,0.923076923,1
882,Shanghai International Circuit,17,George Russell,7728,17,0.958333333,1
903,Shanghai International Circuit,6,Lewis Hamilton,9232,6,0.945273632,1
904,Shanghai International Circuit,3,Lewis Hamilton,9596,3,0.945273632,1
905,Shanghai International Circuit,7,Lewis Hamilton,9960,2,0.945273632,1
909,Shanghai International Circuit,12,Sergio Pérez,8479,12,0.933333333,1
910,Shanghai International Circuit,15,Kevin Magnussen,7867,15,0.952380952,1
911,Shanghai International Circuit,14,Carlos Sainz,8991,14,0.903846154,1
914,Shanghai International Circuit,15,Lando Norris,7092,15,0.916666667,1
922,Shanghai International Circuit,3,Sebastian Vettel,10145,3,0.955,1
923,Shanghai International Circuit,4,Sebastian Vettel,10516,4,0.955,1
924,Shanghai International Circuit,2,Sebastian Vettel,10873,2,0.955,1
925,Shanghai International Circuit,1,Sebastian Vettel,11244,1,0.955,1
926,Shanghai International Circuit,3,Sebastian Vettel,11608,3,0.955,1
930,Shanghai International Circuit,11,Kimi Räikkönen,12604,11,0.944099379,1
931,Shanghai International Circuit,6,Kimi Räikkönen,12961,6,0.944099379,1
932,Shanghai International Circuit,3,Kimi Räikkönen,13332,3,0.944099379,1
933,Shanghai International Circuit,4,Kimi Räikkönen,13689,4,0.944099379,1
934,Shanghai International Circuit,2,Kimi Räikkönen,14060,2,0.944099379,1
946,Shanghai International Circuit,4,Charles Leclerc,7850,4,0.844444444,1
988,Shanghai International Circuit,1,Lewis Hamilton,10324,1,0.945273632,1
989,Shanghai International Circuit,1,Lewis Hamilton,10695,1,0.945273632,1
990,Shanghai International Circuit,1,Lewis Hamilton,11052,1,0.945273632,1
991,Shanghai International Circuit,22,Lewis Hamilton,11423,22,0.945273632,1
992,Shanghai International Circuit,1,Lewis Hamilton,11780,1,0.945273632,1
993,Shanghai International Circuit,4,Lewis Hamilton,12151,4,0.945273632,1
994,Shanghai International Circuit,2,Lewis Hamilton,12515,2,0.945273632,1
998,Shanghai International Circuit,3,Valtteri Bottas,10086,3,0.965034965,1
999,Shanghai International Circuit,3,Valtteri Bottas,10457,3,0.965034965,1
1000,Shanghai International Circuit,1,Valtteri Bottas,10821,1,0.965034965,1
1013,Shanghai International Circuit,17,Daniel Ricciardo,8324,17,0.942196532,1
1014,Shanghai International Circuit,7,Daniel Ricciardo,8688,7,0.942196532,1
1018,Shanghai International Circuit,13,Daniil Kvyat,7299,13,0.917525773,1
1019,Shanghai International Circuit,9,Daniil Kvyat,8384,9,0.917525773,1
1020,Shanghai International Circuit,11,Daniil Kvyat,9119,11,0.917525773,1
1021,Shanghai International Circuit,14,Carlos Sainz,7528,14,0.903846154,1
1022,Shanghai International Circuit,8,Carlos Sainz,7899,8,0.903846154,1
1023,Shanghai International Circuit,11,Carlos Sainz,8256,11,0.903846154,1
1024,Shanghai International Circuit,13,Max Verstappen,6403,13,0.914285714,1
1025,Shanghai International Circuit,9,Max Verstappen,6774,9,0.914285714,1
1026,Shanghai International Circuit,17,Pierre Gasly,8103,17,0.93877551,1
1043,Shanghai International Circuit,16,Sergio Pérez,8850,16,0.933333333,1
1044,Shanghai International Circuit,15,Sergio Pérez,9207,15,0.933333333,1
1045,Shanghai International Circuit,7,Sergio Pérez,9578,7,0.933333333,1
1046,Shanghai International Circuit,8,Sergio Pérez,9935,8,0.933333333,1
1047,Shanghai International Circuit,8,Sergio Pérez,10306,8,0.933333333,1
1048,Shanghai International Circuit,17,Esteban Ocon,7509,20,0.923076923,1
1049,Shanghai International Circuit,12,Esteban Ocon,7880,12,0.923076923,1
1062,Shanghai International Circuit,12,Sergio Pérez,7751,12,0.933333333,1
1063,Shanghai International Circuit,8,Sergio Pérez,8115,8,0.933333333,1
1072,Shanghai International Circuit,18,Antonio Giovinazzi,8517,15,0.88,1
1073,Shanghai International Circuit,19,Charles Leclerc,7486,19,0.844444444,1
1090,Shanghai International Circuit,1,Sebastian Vettel,8325,1,0.955,1
1091,Shanghai International Circuit,1,Sebastian Vettel,8689,1,0.955,1
1092,Shanghai International Circuit,11,Sebastian Vettel,9053,11,0.955,1
1093,Shanghai International Circuit,9,Sebastian Vettel,9417,9,0.955,1
1094,Shanghai International Circuit,3,Sebastian Vettel,9788,3,0.955,1
1101,Shanghai International Circuit,2,Daniel Ricciardo,9059,2,0.942196532,1
1102,Shanghai International Circuit,7,Daniel Ricciardo,9416,7,0.942196532,1
1103,Shanghai International Circuit,2,Daniel Ricciardo,9787,2,0.942196532,1
1104,Shanghai International Circuit,5,Daniel Ricciardo,10144,5,0.942196532,1
1105,Shanghai International Circuit,6,Daniel Ricciardo,10515,6,0.942196532,1
1106,Shanghai International Circuit,12,Daniil Kvyat,7656,12,0.917525773,1
1107,Shanghai International Circuit,6,Daniil Kvyat,8027,6,0.917525773,1
1108,Shanghai International Circuit,16,Max Verstappen,7131,19,0.914285714,1
1109,Shanghai International Circuit,5,Max Verstappen,7502,5,0.914285714,1
1110,Shanghai International Circuit,5,Max Verstappen,7866,5,0.914285714,1
1111,Shanghai International Circuit,6,Pierre Gasly,8467,6,0.93877551,1
1114,Shanghai International Circuit,4,Kimi Räikkönen,11869,5,0.944099379,1
1115,Shanghai International Circuit,2,Kimi Räikkönen,12233,2,0.944099379,1
1116,Shanghai International Circuit,10,Romain Grosjean,9495,10,0.851851852,1
1117,Shanghai International Circuit,6,Romain Grosjean,9859,6,0.851851852,1
1118,Shanghai International Circuit,10,Romain Grosjean,10230,10,0.851851852,1
1119,Shanghai International Circuit,8,Romain Grosjean,10587,8,0.851851852,1
1122,Shanghai International Circuit,13,Kimi Räikkönen,14424,13,0.944099379,1
1129,Shanghai International Circuit,14,Romain Grosjean,10958,14,0.851851852,1
1130,Shanghai International Circuit,19,Romain Grosjean,11315,17,0.851851852,1
1131,Shanghai International Circuit,10,Romain Grosjean,11686,10,0.851851852,1
1132,Shanghai International Circuit,10,Romain Grosjean,12050,10,0.851851852,1
1134,Shanghai International Circuit,12,Kevin Magnussen,8952,12,0.952380952,1
1135,Shanghai International Circuit,11,Kevin Magnussen,9323,11,0.952380952,1
1136,Shanghai International Circuit,9,Kevin Magnussen,9687,9,0.952380952,1
1149,Shanghai International Circuit,12,Sergio Pérez,10670,12,0.933333333,1
1150,Shanghai International Circuit,16,Lance Stroll,7472,16,0.923076923,1
1184,Bahrain International Circuit,10,Daniel Ricciardo,10865,11,0.942196532,1
1185,Bahrain International Circuit,22,Kevin Magnussen,8581,19,0.952380952,1
1186,Bahrain International Circuit,10,Carlos Sainz,8620,10,0.903846154,1
1211,Bahrain International Circuit,15,Valtteri Bottas,8637,15,0.965034965,1
1212,Bahrain International Circuit,3,Valtteri Bottas,8987,4,0.965034965,1
1213,Bahrain International Circuit,5,Valtteri Bottas,9365,5,0.965034965,1
1214,Bahrain International Circuit,6,Valtteri Bottas,9715,6,0.965034965,1
1215,Bahrain International Circuit,12,Lance Stroll,6744,12,0.923076923,1
1216,Bahrain International Circuit,20,Lance Stroll,7101,20,0.923076923,1
1218,Bahrain International Circuit,19,George Russell,7714,19,0.958333333,1
1236,Bahrain International Circuit,4,Lewis Hamilton,9197,4,0.945273632,1
1237,Bahrain International Circuit,2,Lewis Hamilton,9967,2,0.945273632,1
1241,Bahrain International Circuit,12,Sergio Pérez,8486,12,0.933333333,1
1242,Bahrain International Circuit,8,Kevin Magnussen,7853,9,0.952380952,1
1243,Bahrain International Circuit,7,Carlos Sainz,8977,7,0.903846154,1
1247,Bahrain International Circuit,9,Lando Norris,7078,10,0.916666667,1
1254,Bahrain International Circuit,2,Sebastian Vettel,10152,2,0.955,1
1255,Bahrain International Circuit,3,Sebastian Vettel,10502,3,0.955,1
1256,Bahrain International Circuit,3,Sebastian Vettel,10880,3,0.955,1
1257,Bahrain International Circuit,1,Sebastian Vettel,11237,1,0.955,1
1258,Bahrain International Circuit,2,Sebastian Vettel,11594,2,0.955,1
1262,Bahrain International Circuit,5,Kimi Räikkönen,12590,6,0.944099379,1
1263,Bahrain International Circuit,4,Kimi Räikkönen,12968,4,0.944099379,1
1264,Bahrain International Circuit,4,Kimi Räikkönen,13318,4,0.944099379,1
1265,Bahrain International Circuit,5,Kimi Räikkönen,13696,5,0.944099379,1
1266,Bahrain International Circuit,2,Kimi Räikkönen,14053,2,0.944099379,1
1277,Bahrain International Circuit,1,Charles Leclerc,7836,1,0.844444444,1
1314,Bahrain International Circuit,9,Lewis Hamilton,10331,4,0.945273632,1
1315,Bahrain International Circuit,2,Lewis Hamilton,10681,2,0.945273632,1
1316,Bahrain International Circuit,1,Lewis Hamilton,11059,1,0.945273632,1
1317,Bahrain International Circuit,1,Lewis Hamilton,11409,1,0.945273632,1
1318,Bahrain International Circuit,2,Lewis Hamilton,11787,2,0.945273632,1
1319,Bahrain International Circuit,9,Lewis Hamilton,12144,4,0.945273632,1
1320,Bahrain International Circuit,3,Lewis Hamilton,12501,3,0.945273632,1
1323,Bahrain International Circuit,1,Valtteri Bottas,10093,1,0.965034965,1
1324,Bahrain International Circuit,3,Valtteri Bottas,10450,3,0.965034965,1
1325,Bahrain International Circuit,4,Valtteri Bottas,10807,4,0.965034965,1
1336,Bahrain International Circuit,6,Daniel Ricciardo,8331,6,0.942196532,1
1337,Bahrain International Circuit,13,Daniel Ricciardo,8695,13,0.942196532,1
1341,Bahrain International Circuit,12,Daniil Kvyat,7285,13,0.917525773,1
1342,Bahrain International Circuit,11,Daniil Kvyat,8391,11,0.917525773,1
1343,Bahrain International Circuit,15,Daniil Kvyat,9105,15,0.917525773,1
1344,Bahrain International Circuit,9,Carlos Sainz,7535,9,0.903846154,1
1345,Bahrain International Circuit,11,Carlos Sainz,7885,11,0.903846154,1
1346,Bahrain International Circuit,16,Carlos Sainz,8263,16,0.903846154,1
1347,Bahrain International Circuit,15,Max Verstappen,6410,15,0.914285714,1
1348,Bahrain International Circuit,10,Max Verstappen,6760,10,0.914285714,1
1349,Bahrain International Circuit,5,Pierre Gasly,8096,6,0.93877551,1
1351,Bahrain International Circuit,12,Alexander Albon,8408,12,0.956521739,1
1365,Bahrain International Circuit,4,Sergio Pérez,8836,5,0.933333333,1
1366,Bahrain International Circuit,11,Sergio Pérez,9214,11,0.933333333,1
1367,Bahrain International Circuit,18,Sergio Pérez,9564,18,0.933333333,1
1368,Bahrain International Circuit,18,Sergio Pérez,9942,18,0.933333333,1
1369,Bahrain International Circuit,12,Sergio Pérez,10299,12,0.933333333,1
1370,Bahrain International Circuit,14,Esteban Ocon,7516,14,0.923076923,1
1371,Bahrain International Circuit,8,Esteban Ocon,7873,9,0.923076923,1
1383,Bahrain International Circuit,8,Sergio Pérez,8122,8,0.933333333,1
1393,Bahrain International Circuit,19,Charles Leclerc,7479,19,0.844444444,1
1409,Bahrain International Circuit,1,Sebastian Vettel,8290,1,0.955,1
1410,Bahrain International Circuit,1,Sebastian Vettel,9060,1,0.955,1
1411,Bahrain International Circuit,2,Sebastian Vettel,9424,2,0.955,1
1412,Bahrain International Circuit,10,Sebastian Vettel,9774,11,0.955,1
1419,Bahrain International Circuit,13,Daniel Ricciardo,9045,3,0.942196532,1
1420,Bahrain International Circuit,7,Daniel Ricciardo,9423,7,0.942196532,1
1421,Bahrain International Circuit,5,Daniel Ricciardo,9773,5,0.942196532,1
1422,Bahrain International Circuit,4,Daniel Ricciardo,10151,4,0.942196532,1
1423,Bahrain International Circuit,4,Daniel Ricciardo,10508,5,0.942196532,1
1424,Bahrain International Circuit,17,Daniil Kvyat,7663,17,0.917525773,1
1425,Bahrain International Circuit,15,Daniil Kvyat,8013,15,0.917525773,1
1426,Bahrain International Circuit,6,Max Verstappen,7138,6,0.914285714,1
1427,Bahrain International Circuit,15,Max Verstappen,7495,15,0.914285714,1
1428,Bahrain International Circuit,5,Max Verstappen,7852,5,0.914285714,1
1429,Bahrain International Circuit,13,Pierre Gasly,8453,13,0.93877551,1
1432,Bahrain International Circuit,11,Kimi Räikkönen,11876,11,0.944099379,1
1433,Bahrain International Circuit,8,Kimi Räikkönen,12240,9,0.944099379,1
1434,Bahrain International Circuit,7,Romain Grosjean,9502,7,0.851851852,1
1435,Bahrain International Circuit,11,Romain Grosjean,9866,11,0.851851852,1
1436,Bahrain International Circuit,16,Romain Grosjean,10216,16,0.851851852,1
1437,Bahrain International Circuit,10,Romain Grosjean,10594,10,0.851851852,1
1440,Bahrain International Circuit,8,Kimi Räikkönen,14410,9,0.944099379,1
1441,Bahrain International Circuit,16,Antonio Giovinazzi,9238,16,0.88,1
1448,Bahrain International Circuit,9,Romain Grosjean,10944,9,0.851851852,1
1449,Bahrain International Circuit,9,Romain Grosjean,11322,9,0.851851852,1
1450,Bahrain International Circuit,16,Romain Grosjean,11679,16,0.851851852,1
1451,Bahrain International Circuit,11,Romain Grosjean,12036,8,0.851851852,1
1453,Bahrain International Circuit,20,Kevin Magnussen,8959,20,0.952380952,1
1454,Bahrain International Circuit,6,Kevin Magnussen,9316,7,0.952380952,1
1455,Bahrain International Circuit,6,Kevin Magnussen,9673,6,0.952380952,1
1468,Bahrain International Circuit,14,Sergio Pérez,10656,14,0.933333333,1
1469,Bahrain International Circuit,18,Lance Stroll,7458,18,0.923076923,1
1506,Circuit de Barcelona-Catalunya,13,Daniel Ricciardo,10907,10,0.942196532,1
1507,Circuit de Barcelona-Catalunya,15,Kevin Magnussen,8623,15,0.952380952,1
1508,Circuit de Barcelona-Catalunya,9,Carlos Sainz,8655,9,0.903846154,1
1553,Circuit de Barcelona-Catalunya,16,Valtteri Bottas,8658,17,0.965034965,1
1554,Circuit de Barcelona-Catalunya,4,Valtteri Bottas,9022,4,0.965034965,1
1555,Circuit de Barcelona-Catalunya,4,Valtteri Bottas,9386,4,0.965034965,1
1556,Circuit de Barcelona-Catalunya,7,Valtteri Bottas,9757,7,0.965034965,1
1557,Circuit de Barcelona-Catalunya,18,Lance Stroll,6772,18,0.923076923,1
1558,Circuit de Barcelona-Catalunya,18,Lance Stroll,7136,19,0.923076923,1
1560,Circuit de Barcelona-Catalunya,19,George Russell,7756,19,0.958333333,1
1582,Circuit de Barcelona-Catalunya,3,Lewis Hamilton,9253,3,0.945273632,1
1583,Circuit de Barcelona-Catalunya,3,Lewis Hamilton,9631,3,0.945273632,1
1584,Circuit de Barcelona-Catalunya,24,Lewis Hamilton,9988,1,0.945273632,1
1597,Circuit de Barcelona-Catalunya,8,Sergio Pérez,8507,9,0.933333333,1
1598,Circuit de Barcelona-Catalunya,14,Kevin Magnussen,7888,15,0.952380952,1
1599,Circuit de Barcelona-Catalunya,12,Carlos Sainz,9019,13,0.903846154,1
